Year,Event Name,Country/Region,Disaster Type,Deaths,Economic Loss (USD),Loss as % of GDP,Source,Catastrophic,Insured Loss (USD)
1970,Bhola Cyclone,Bangladesh,Tropical Cyclone,500000,86,2.2,WMO,Yes,0
1970,Thunderstorm Wind in ARKANSAS,ARKANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Tornado in MISSOURI,MISSOURI,Tornado,0,25000,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in MISSISSIPPI,MISSISSIPPI,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in MISSOURI,MISSOURI,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in MINNESOTA,MINNESOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in MISSOURI,MISSOURI,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in ALABAMA,ALABAMA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in SOUTH DAKOTA,SOUTH DAKOTA,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in FLORIDA,FLORIDA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Tornado in KANSAS,KANSAS,Tornado,0,2500000,0,NOAA Storm Events,Yes,0
1970,Thunderstorm Wind in IDAHO,IDAHO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in NORTH CAROLINA,NORTH CAROLINA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in OHIO,OHIO,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in NEW YORK,NEW YORK,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in INDIANA,INDIANA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in MARYLAND,MARYLAND,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in PENNSYLVANIA,PENNSYLVANIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in ILLINOIS,ILLINOIS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in ILLINOIS,ILLINOIS,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in GEORGIA,GEORGIA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in TEXAS,TEXAS,Hail,0,0,0,NOAA Storm Events,No,0
1970,Tornado in TEXAS,TEXAS,Tornado,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in IOWA,IOWA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in KANSAS,KANSAS,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in WISCONSIN,WISCONSIN,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in KANSAS,KANSAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in TEXAS,TEXAS,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in MINNESOTA,MINNESOTA,Hail,0,0,0,NOAA Storm Events,No,0
1970,Hail in OKLAHOMA,OKLAHOMA,Hail,0,0,0,NOAA Storm Events,No,0
1970,Tornado in OKLAHOMA,OKLAHOMA,Tornado,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in OKLAHOMA,OKLAHOMA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Hail in PENNSYLVANIA,PENNSYLVANIA,Hail,0,0,0,NOAA Storm Events,No,0
1970,Hail in NORTH DAKOTA,NORTH DAKOTA,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in NORTH DAKOTA,NORTH DAKOTA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Tornado in NORTH DAKOTA,NORTH DAKOTA,Tornado,0,25000,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in NEBRASKA,NEBRASKA,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Tornado in NEBRASKA,NEBRASKA,Tornado,0,0,0,NOAA Storm Events,No,0
1970,Hail in NEBRASKA,NEBRASKA,Hail,0,0,0,NOAA Storm Events,No,0
1970,Tornado in OHIO,OHIO,Tornado,0,25000,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in OHIO,OHIO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Tornado in MINNESOTA,MINNESOTA,Tornado,0,2500,0,NOAA Storm Events,No,0
1970,Tornado in NEW MEXICO,NEW MEXICO,Tornado,0,2500,0,NOAA Storm Events,No,0
1970,Hail in NEW MEXICO,NEW MEXICO,Hail,0,0,0,NOAA Storm Events,No,0
1970,Thunderstorm Wind in NEW MEXICO,NEW MEXICO,Thunderstorm Wind,0,0,0,NOAA Storm Events,No,0
1970,Tornado in MISSISSIPPI,MISSISSIPPI,Tornado,0,250,0,NOAA Storm Events,No,0
1970,Hail in MISSISSIPPI,MISSISSIPPI,Hail,0,0,0,NOAA Storm Events,No,0
1970,Hail in TENNESSEE,TENNESSEE,Hail,0,0,0,NOAA Storm Events,No,0
